engine_id,site,area,asset_family,criticality_class,failure_cycle,current_cycle,current_rul,current_health_index,current_risk_score,current_risk_level,current_recommended_action
1,Planta Concentradora,Servicios Auxiliares,Motor crítico,C - Baja,192,151,41,21.354166666666664,78.64583333333334,Alto,Programar mantención
2,Planta Norte,Servicios Auxiliares,Turbina industrial,B - Media,287,152,135,47.038327526132406,52.961672473867594,Bajo,Monitoreo normal
3,Planta Concentradora,Servicios Auxiliares,Equipo rotativo,A - Alta,179,88,91,50.83798882681564,49.16201117318436,Bajo,Monitoreo normal
4,Planta Concentradora,Línea 3,Motor crítico,A - Alta,189,132,57,30.158730158730158,69.84126984126985,Medio,Seguimiento preventivo
5,Planta Norte,Línea 3,Motor crítico,B - Media,269,216,53,19.702602230483272,80.29739776951672,Medio,Seguimiento preventivo
6,Planta Norte,Línea 3,Motor crítico,C - Baja,188,116,72,38.297872340425535,61.702127659574465,Medio,Seguimiento preventivo
7,Planta Concentradora,Línea 1,Turbina industrial,C - Baja,259,251,8,3.088803088803089,96.91119691119691,Crítico,Intervención prioritaria
8,Planta Sur,Servicios Auxiliares,Equipo rotativo,B - Media,150,117,33,22.0,78.0,Alto,Programar mantención
9,Planta Concentradora,Línea 3,Motor crítico,B - Media,201,131,70,34.82587064676617,65.17412935323384,Medio,Seguimiento preventivo
10,Planta Concentradora,Línea 3,Motor crítico,A - Alta,222,133,89,40.090090090090094,59.909909909909906,Medio,Seguimiento preventivo
11,Planta Concentradora,Línea 1,Motor crítico,A - Alta,240,136,104,43.333333333333336,56.666666666666664,Bajo,Monitoreo normal
12,Planta Concentradora,Línea 3,Turbina industrial,C - Baja,170,138,32,18.823529411764707,81.17647058823529,Alto,Programar mantención
13,Planta Norte,Línea 1,Turbina industrial,B - Media,163,102,61,37.423312883435585,62.576687116564415,Medio,Seguimiento preventivo
14,Planta Concentradora,Línea 2,Equipo rotativo,A - Alta,180,70,110,61.111111111111114,38.888888888888886,Bajo,Monitoreo normal
15,Planta Sur,Línea 3,Turbina industrial,A - Alta,207,124,83,40.09661835748793,59.90338164251207,Medio,Seguimiento preventivo
16,Planta Norte,Línea 2,Motor crítico,B - Media,209,170,39,18.660287081339714,81.33971291866028,Alto,Programar mantención
17,Planta Sur,Línea 1,Equipo rotativo,A - Alta,276,128,148,53.62318840579711,46.37681159420289,Bajo,Monitoreo normal
18,Planta Sur,Servicios Auxiliares,Motor crítico,A - Alta,195,90,105,53.84615384615385,46.15384615384615,Bajo,Monitoreo normal
19,Planta Sur,Línea 3,Motor crítico,B - Media,158,108,50,31.645569620253166,68.35443037974683,Alto,Programar mantención
20,Planta Sur,Línea 1,Turbina industrial,B - Media,234,160,74,31.62393162393162,68.37606837606837,Medio,Seguimiento preventivo
21,Planta Norte,Servicios Auxiliares,Equipo rotativo,B - Media,195,146,49,25.128205128205128,74.87179487179488,Alto,Programar mantención
22,Planta Norte,Servicios Auxiliares,Turbina industrial,A - Alta,202,179,23,11.386138613861387,88.61386138613861,Alto,Programar mantención
23,Planta Sur,Línea 2,Turbina industrial,B - Media,168,135,33,19.642857142857142,80.35714285714286,Alto,Programar mantención
24,Planta Sur,Línea 1,Equipo rotativo,A - Alta,147,108,39,26.53061224489796,73.46938775510205,Alto,Programar mantención
25,Planta Norte,Servicios Auxiliares,Motor crítico,A - Alta,230,185,45,19.565217391304348,80.43478260869566,Alto,Programar mantención
26,Planta Norte,Línea 3,Motor crítico,B - Media,199,110,89,44.72361809045226,55.27638190954774,Medio,Seguimiento preventivo
27,Planta Norte,Línea 3,Equipo rotativo,B - Media,156,90,66,42.30769230769231,57.69230769230769,Medio,Seguimiento preventivo
28,Planta Concentradora,Línea 2,Motor crítico,C - Baja,165,81,84,50.90909090909091,49.09090909090909,Medio,Seguimiento preventivo
29,Planta Concentradora,Servicios Auxiliares,Equipo rotativo,B - Media,163,87,76,46.62576687116564,53.37423312883436,Medio,Seguimiento preventivo
30,Planta Concentradora,Línea 1,Equipo rotativo,B - Media,194,145,49,25.257731958762886,74.74226804123711,Alto,Programar mantención
31,Planta Sur,Línea 3,Turbina industrial,A - Alta,234,95,139,59.401709401709404,40.598290598290596,Bajo,Monitoreo normal
32,Planta Concentradora,Servicios Auxiliares,Equipo rotativo,B - Media,191,119,72,37.696335078534034,62.303664921465966,Medio,Seguimiento preventivo
33,Planta Sur,Servicios Auxiliares,Turbina industrial,A - Alta,200,124,76,38.0,62.0,Medio,Seguimiento preventivo
34,Planta Sur,Línea 2,Motor crítico,A - Alta,195,129,66,33.84615384615385,66.15384615384616,Medio,Seguimiento preventivo
35,Planta Concentradora,Línea 3,Motor crítico,C - Baja,181,112,69,38.12154696132597,61.87845303867403,Medio,Seguimiento preventivo
36,Planta Sur,Línea 3,Motor crítico,B - Media,158,86,72,45.56962025316456,54.43037974683544,Medio,Seguimiento preventivo
37,Planta Concentradora,Línea 1,Motor crítico,C - Baja,170,105,65,38.23529411764706,61.76470588235294,Medio,Seguimiento preventivo
38,Planta Concentradora,Línea 3,Turbina industrial,B - Media,194,177,17,8.762886597938143,91.23711340206185,Crítico,Intervención prioritaria
